county,Species,value
Kisumu,Sheep(Wool),0
Kitui,Camels,0
Kitui,Cattle(Beef),602505
Kitui,Cattle(Dairy),10564
Kitui,Cattle(Total),613069
Kitui,Chicken(Broilers),22743
Kitui,Chicken(Indigenous),452859
Kitui,Chicken(Layers),4101538
Kitui,Chicken(Total),4577140
Kitui,Donkeys,326095
Kitui,Goat(Total),2006090
Kitui,Goats(Dairy),7032
Kitui,Goats(Meat),1999058
Kitui,Pigs,3595
Kitui,Rabbits,19712
Kitui,Sheep(Hair),131486
Kitui,Sheep(Total),131486
Kitui,Sheep(Wool),0
Kwale,Camels,2826
Kwale,Cattle(Beef),260801
Kwale,Cattle(Dairy),8472
Kwale,Cattle(Total),269273
Kwale,Chicken(Broilers),79568
Kwale,Chicken(Indigenous),41594
Kwale,Chicken(Layers),614192
Kwale,Chicken(Total),735354
Kwale,Donkeys,1359
Kwale,Goat(Total),476387
Kwale,Goats(Dairy),3584
Kwale,Goats(Meat),472803
Kwale,Pigs,1051
Kwale,Rabbits,2498
Kwale,Sheep(Hair),77309
Kwale,Sheep(Total),77309
Kwale,Sheep(Wool),0
Laikipia,Camels,19430
Laikipia,Cattle(Beef),243266
Laikipia,Cattle(Dairy),79575
Laikipia,Cattle(Total),322841
Laikipia,Chicken(Broilers),54354
Laikipia,Chicken(Indigenous),59220
Laikipia,Chicken(Layers),640170
Laikipia,Chicken(Total),753744
Laikipia,Donkeys,20680
Laikipia,Goat(Total),614790
Laikipia,Goats(Dairy),18550
Laikipia,Goats(Meat),596240
Laikipia,Pigs,5990
Laikipia,Rabbits,10355
Laikipia,Sheep(Hair),374340
Laikipia,Sheep(Total),377590
Laikipia,Sheep(Wool),3250
Lamu,Camels,221508
Lamu,Cattle(Beef),357504
Lamu,Cattle(Dairy),10391
Lamu,Cattle(Total),367895
Lamu,Chicken(Broilers),7816
Lamu,Chicken(Indigenous),9066
Lamu,Chicken(Layers),225633
Lamu,Chicken(Total),242515
Lamu,Donkeys,73385
Lamu,Goat(Total),1043376
Lamu,Goats(Dairy),7222
Lamu,Goats(Meat),1036154
Lamu,Pigs,7734
Lamu,Rabbits,4645
Lamu,Sheep(Hair),224422
Lamu,Sheep(Total),224422
Lamu,Sheep(Wool),0
Machakos,Camels,190
Machakos,Cattle(Beef),300220
Machakos,Cattle(Dairy),65010
Machakos,Cattle(Total),365230
Machakos,Chicken(Broilers),446989
Machakos,Chicken(Indigenous),468386
Machakos,Chicken(Layers),2381287
Machakos,Chicken(Total),3296662
Machakos,Donkeys,25100
Machakos,Goat(Total),622591
Machakos,Goats(Dairy),8143
Machakos,Goats(Meat),614448
Machakos,Pigs,10627
Machakos,Rabbits,26897
Machakos,Sheep(Hair),187777
Machakos,Sheep(Total),187777
Machakos,Sheep(Wool),0
Makueni,Camels,650
Makueni,Cattle(Beef),199654
Makueni,Cattle(Dairy),27216
Makueni,Cattle(Total),226870
Makueni,Chicken(Broilers),26972
Makueni,Chicken(Indigenous),37706
Makueni,Chicken(Layers),1427828
Makueni,Chicken(Total),1492506
Makueni,Donkeys,38186
Makueni,Goat(Total),867333
Makueni,Goats(Dairy),14992
Makueni,Goats(Meat),852341
Makueni,Pigs,3082
Makueni,Rabbits,16541
Makueni,Sheep(Hair),112731
Makueni,Sheep(Total),112731
Makueni,Sheep(Wool),0
Mandera,Camels,744612
Mandera,Cattle(Beef),597279
Mandera,Cattle(Dairy),51
Mandera,Cattle(Total),597330
Mandera,Chicken(Broilers),120
Mandera,Chicken(Indigenous),1853
Mandera,Chicken(Layers),47588
Mandera,Chicken(Total),49561
Mandera,Donkeys,115162
Mandera,Goat(Total),2537718
Mandera,Goats(Dairy),84
Mandera,Goats(Meat),2537634
Mandera,Pigs,0
Mandera,Rabbits,0
Mandera,Sheep(Hair),636500
Mandera,Sheep(Total),636500
Mandera,Sheep(Wool),0
Marsabit,Camels,183388
Marsabit,Cattle(Beef),113932
Marsabit,Cattle(Dairy),396
Marsabit,Cattle(Total),114328
Marsabit,Chicken(Broilers),680
Marsabit,Chicken(Indigenous),8630
Marsabit,Chicken(Layers),75506
Marsabit,Chicken(Total),84816
Marsabit,Donkeys,72968
Marsabit,Goat(Total),627627
Marsabit,Goats(Dairy),374
Marsabit,Goats(Meat),627253
Marsabit,Pigs,0
Marsabit,Rabbits,80
Marsabit,Sheep(Hair),532550
Marsabit,Sheep(Total),532550
Marsabit,Sheep(Wool),0
Meru,Camels,2380
Meru,Cattle(Beef),221080
Meru,Cattle(Dairy),227370
Meru,Cattle(Total),448450
Meru,Chicken(Broilers),65250
Meru,Chicken(Indigenous),128280
Meru,Chicken(Layers),1442230
Meru,Chicken(Total),1635760
Meru,Donkeys,5750
Meru,Goat(Total),268700
Meru,Goats(Dairy),38820
Meru,Goats(Meat),229880
Meru,Pigs,42070
Meru,Rabbits,25660
Meru,Sheep(Hair),77240
Meru,Sheep(Total),109550
Meru,Sheep(Wool),32310
Migori,Camels,0
Migori,Cattle(Beef),441898
Migori,Cattle(Dairy),13334
Migori,Cattle(Total),455232
Migori,Chicken(Broilers),2817
Migori,Chicken(Indigenous),20500
Migori,Chicken(Layers),4632215
Migori,Chicken(Total),4655532
Migori,Donkeys,4462
Migori,Goat(Total),588522
Migori,Goats(Dairy),3579
Migori,Goats(Meat),584943
Migori,Pigs,7339
Migori,Rabbits,4326
Migori,Sheep(Hair),310413
Migori,Sheep(Total),310413
Migori,Sheep(Wool),0
Mombasa,Camels,28
Mombasa,Cattle(Beef),7482
Mombasa,Cattle(Dairy),2859
Mombasa,Cattle(Total),10341
Mombasa,Chicken(Broilers),121402
Mombasa,Chicken(Indigenous),37620
Mombasa,Chicken(Layers),78819
Mombasa,Chicken(Total),237841
Mombasa,Donkeys,27
Mombasa,Goat(Total),25485
Mombasa,Goats(Dairy),237
Mombasa,Goats(Meat),25248
Mombasa,Pigs,2357
Mombasa,Rabbits,1326
Mombasa,Sheep(Hair),2263
Mombasa,Sheep(Total),2263
Mombasa,Sheep(Wool),0
Muranga,Camels,0
Muranga,Cattle(Beef),36536
Muranga,Cattle(Dairy),322118
Muranga,Cattle(Total),358654
Muranga,Chicken(Broilers),95759
Muranga,Chicken(Indigenous),558391
Muranga,Chicken(Layers),983105
Muranga,Chicken(Total),1637255
Muranga,Donkeys,1012
Muranga,Goat(Total),186758
Muranga,Goats(Dairy),79663
